"Species	","	Length",Width,Ratio,Tip length,Base angle,no of veins,petiole length
Betel,16.2,11,1.47,1.4,348,8,2.5
Betel,12.6,9.1,1.38,1.1,312,8,2.4
Betel,13.8,8.1,1.7,1.1,332,8,2.7
Betel,12.1,8.5,1.42,1.1,322,8,2.8
Betel,13.8,10.2,1.35,1.6,221,8,6.1
Betel,16,11.3,1.42,1.2,239,8,9
Betel,11.6,9.6,1.21,1.1,349,6,3.7
Betel,15.6,11.3,1.38,1.8,267,8,3.1
Betel,13.6,10,1.36,1.4,318,6,3.1
Betel,12.8,9.6,1.33,1.1,251,6,4
Betel,14.9,11.9,1.25,1.7,290,8,8
Betel,15.7,10.8,1.45,1.5,326,8,1.8
Betel,14.6,10.4,1.4,1.8,344,8,1.5
Betel,15.8,10.3,1.53,1.2,247,8,7.4
Betel,12.9,8.3,1.55,1,338,7,2.6
Betel,15.4,10.2,1.51,2.1,335,8,1.5
Betel,14.8,9,1.64,1.9,288,7,2.8
Betel,14.9,10.5,1.42,1.3,292,8,1.9
Betel,13.3,9.1,1.46,0.5,340,7,1.5
Betel,14.1,10.3,1.37,0.7,302,7,1.6
Betel,14,10.2,1.37,1.1,324,8,1.4
Betel,12.5,9.7,1.29,1.2,336,8,1.6
Betel,14.1,8.6,1.64,1.6,322,7,1.6
Betel,13,9.2,1.41,1.8,347,6,1.5
Betel,14.5,9.3,1.56,2,336,8,1.1
Pepper,16,11,1.45,1,210,6,1.9
Pepper,16.3,12.9,1.26,0.8,236,6,2.9
Pepper,15.8,11.8,1.34,0.8,244,6,1.9
Pepper,15.7,11.2,1.4,0.8,243,6,2
Pepper,16.7,13.6,1.23,0.9,244,6,2
Pepper,14.7,10,1.47,0.5,234,6,2.2
Pepper,17,13,1.31,0.8,271,6,2.8
Pepper,16.6,11.3,1.47,0.7,196,6,2.1
Pepper,13.3,9.2,1.45,0.6,262,6,1.9
Pepper,14.8,9.7,1.53,0.5,219,6,2.3
Pepper,14,9.6,1.46,0.6,227,6,2
Pepper,15.6,10.3,1.51,0.7,213,6,2.3
Pepper,16.6,12,1.38,0.8,293,7,2.5
Pepper,13.9,9.4,1.48,0.7,209,6,1.6
Pepper,16.8,12,1.4,0.8,221,6,2.4
Pepper,15.4,10.7,1.44,0.8,203,6,2.6
Pepper,15.1,10,1.51,0.7,172,6,2.6
Pepper,15.2,10.9,1.39,0.8,248,6,1.9
Pepper,16,10.9,1.47,0.6,242,6,2
Pepper,15.6,12.5,1.25,0.7,259,6,3
Pepper,15.9,11.2,1.42,0.7,292,6,2
Pepper,14.5,10.2,1.42,0.6,225,6,2
Pepper,13.8,11.6,1.19,0.4,292,6,2.5
Pepper,14.1,10.4,1.36,1,228,6,4.6
Pepper,15,9.8,1.53,0.9,170,6,1.8
Long pepper,12.8,9.7,1.32,0.7,250,6,2.6
Long pepper,11,9.5,1.16,0.8,230,6,4.3
Long pepper,11.7,8.4,1.39,0.7,204,6,4.5
Long pepper,12.4,10.5,1.18,0.9,252,6,2.8
Long pepper,12.4,9.9,1.25,0.6,238,6,6.2
Long pepper,11.7,8.3,1.41,0.7,204,6,5.9
Long pepper,13.7,9.2,1.49,0.6,209,6,3.3
Long pepper,12,10.5,1.14,0.8,216,6,5.7
Long pepper,12.7,9.1,1.4,0.8,250,6,3.1
Long pepper,11.8,9.5,1.24,0.6,284,6,3.2
Long pepper,11.2,9,1.24,0.6,216,6,5.4
Long pepper,9.5,8.7,1.09,0.3,195,6,4.2
Long pepper,11.1,9.2,1.21,0.5,221,6,4.8
Long pepper,11.7,8.9,1.31,0.5,198,6,2.8
Long pepper,11.6,8.4,1.38,1,238,6,4.7
Long pepper,13.3,9.8,1.36,0.6,228,6,3.2
Long pepper,12.8,9.7,1.32,0.6,185,6,1.9
Long pepper,11.1,9.2,1.21,0.5,221,6,4.8
Long pepper,11.7,8.9,1.31,0.5,198,6,2.8
Long pepper,11.6,8.4,1.38,1,238,6,4.7
Long pepper,13.3,9.8,1.36,0.6,228,6,3.2
Long pepper,12.8,9.7,1.32,0.6,185,6,1.9
Long pepper,10.9,9,121,0.8,230,6,3.5
Long pepper,12.4,10.5,1.18,0.9,205,6,3.8
Long pepper,14,9.7,1.44,0.8,206,6,2.6
